Trade #,Type,Date and time,Price,Qty,Net P&L USD,Cumulative P&L USD
1,Exit long,2026-06-01 10:00,200,1,30,30
2,Exit long,2026-06-02 10:00,202,1,25,55
3,Exit long,2026-06-03 10:00,204,1,20,75
4,Exit long,2026-06-04 10:00,206,1,15,90
5,Exit long,2026-06-05 10:00,208,1,10,100
6,Exit long,2026-06-06 10:00,207,1,5,105
7,Exit long,2026-06-07 10:00,206,1,-5,100
8,Exit long,2026-06-08 10:00,205,1,-10,90
9,Exit long,2026-06-09 10:00,204,1,-15,75
10,Exit long,2026-06-10 10:00,203,1,-20,55
11,Exit long,2026-06-11 10:00,202,1,-25,30
12,Exit long,2026-06-12 10:00,204,1,20,50
